underlying,lens,trail_period,trail_mult,time_stop,breakeven_r,trades,win_rate,ret_pct,profit_factor,sharpe,max_dd,is_ret,is_pf,oos_ret,oos_trades,oos_pf
NIFTY 50,options,10,0.75,48,off,559,30.4,48.72,1.045,0.554,55.7,62.94,1.095,-19.3,164,0.953
NIFTY 50,options,10,0.75,48,1.0,559,30.2,51.65,1.048,0.564,53.65,69.81,1.107,-23.24,164,0.943
NIFTY 50,options,10,1.0,off,off,546,30.0,47.57,1.041,0.559,49.41,131.32,1.181,-85.85,158,0.806
NIFTY 50,options,10,1.0,off,1.0,546,29.9,41.11,1.035,0.534,51.61,131.64,1.182,-92.63,158,0.791
NIFTY 50,options,10,1.0,48,off,547,30.0,74.24,1.063,0.658,45.28,144.32,1.199,-72.18,159,0.837
NIFTY 50,options,10,1.0,48,1.0,547,29.8,67.78,1.058,0.636,46.19,144.64,1.2,-78.96,159,0.823
NIFTY 50,options,10,1.5,off,off,466,28.3,-69.94,0.941,-0.113,89.47,75.33,1.104,-147.51,138,0.682
NIFTY 50,options,10,1.5,off,1.0,468,28.2,-52.86,0.955,0.026,83.13,81.73,1.114,-136.84,138,0.698
NIFTY 50,options,10,1.5,48,off,471,28.9,-101.75,0.915,-0.879,101.67,29.92,1.041,-134.39,138,0.71
NIFTY 50,options,10,1.5,48,1.0,473,28.5,-85.59,0.927,-0.256,94.92,35.41,1.049,-123.72,138,0.727
NIFTY 50,options,10,2.0,off,off,374,29.4,-66.85,0.941,0.042,85.28,42.52,1.062,-115.14,113,0.75
NIFTY 50,options,10,2.0,off,1.0,375,29.3,-64.13,0.943,0.059,84.14,44.08,1.065,-113.97,113,0.752
NIFTY 50,options,10,2.0,48,off,396,30.6,-102.57,0.914,-0.771,101.21,22.9,1.032,-132.61,120,0.723
NIFTY 50,options,10,2.0,48,1.0,398,30.4,-104.19,0.913,-0.856,102.01,20.11,1.028,-131.44,120,0.725
