symbol,tf,strategy,profile,trades,win_rate,pf,sharpe,expectancy,net_return,pnl_usd,max_dd,oos_sharpe,p_loss,dsr,beats_hold,ret%,oos_keep,excess_vs_hold,mc_ret_p05,mc_dd_p05,P_loss%
BTCUSD,1h,bb_rsi_reversion,Scale_Out_2R,324,0.3117,0.8571,-1.0382,-0.001665,-0.474267,-237.13,-0.5989,-6.3979,0.9203,0.0,False,-47.4,1.0,-1.1948,-74.9,-78.0,92.0
BTCUSD,1h,vwap_cross,Scalping,567,0.358,0.8923,-0.7833,-0.000526,-0.281512,-140.76,-0.3922,-4.6766,0.9103,0.0,False,-28.2,1.01,-1.0021,-54.1,-56.9,91.0
BTCUSD,1h,vwap_cross,Intraday,348,0.3793,0.9768,-0.1595,-0.000207,-0.135069,-67.53,-0.3344,-1.0272,0.651,0.0006,False,-13.5,0.98,-0.8556,-52.5,-59.9,65.0
BTCUSD,1h,vwap_cross,Aggressive,384,0.2786,1.0395,0.2402,0.000314,0.040645,20.32,-0.351,1.3151,0.473,0.0028,False,4.1,0.84,-0.6799,-46.8,-56.5,47.0
BTCUSD,1h,vwap_cross,Intraday_Trailing,348,0.3793,0.9768,-0.1595,-0.000207,-0.135069,-67.53,-0.3344,-1.0272,0.651,0.0006,False,-13.5,0.98,-0.8556,-52.5,-59.9,65.0
BTCUSD,1h,vwap_cross,Scale_Out_2R,334,0.3533,1.0055,0.0362,5.1e-05,-0.063005,-31.5,-0.3775,0.0177,0.5707,0.0012,False,-6.3,0.11,-0.7836,-50.2,-59.4,57.0
BTCUSD,1h,breakout,Scalping,569,0.3199,0.7232,-2.2978,-0.001418,-0.565877,-282.94,-0.6054,-13.9506,1.0,0.0,False,-56.6,1.02,-1.2864,-70.4,-71.4,100.0
BTCUSD,1h,breakout,Intraday,402,0.3333,0.7476,-2.0573,-0.002414,-0.64678,-323.39,-0.6842,-12.3513,0.9977,0.0,False,-64.7,1.02,-1.3673,-80.7,-81.8,100.0
BTCUSD,1h,breakout,Aggressive,412,0.233,0.7636,-1.7609,-0.001953,-0.580364,-290.18,-0.6352,-11.1536,0.987,0.0,False,-58.0,1.0,-1.3009,-76.4,-78.1,99.0
BTCUSD,1h,breakout,Intraday_Trailing,402,0.3333,0.7476,-2.0573,-0.002414,-0.64678,-323.39,-0.6842,-12.3513,0.9977,0.0,False,-64.7,1.02,-1.3673,-80.7,-81.8,100.0
BTCUSD,1h,breakout,Scale_Out_2R,382,0.3089,0.7781,-1.736,-0.002193,-0.599206,-299.6,-0.6486,-10.4951,0.99,0.0,False,-59.9,0.99,-1.3198,-78.6,-80.1,99.0
BTCUSD,1h,price_action,Scalping,683,0.3485,0.8851,-0.8391,-0.000639,-0.385041,-192.52,-0.4712,-5.3965,0.932,0.0,False,-38.5,1.1,-1.1056,-63.1,-66.4,93.0
